filename,store,date,total,items,raw_text
17.jpg,See iced Bho receipt for your chance,,,1 FOR 0.44,"See iced Bho receipt for your chance
to win #1

TD #:  7K2GF1SL2FF

Walmart 2 2<

Save money, Live better.

970 ) 259 ~ 8755
MANAGER MIKE bag
fi Me Bal fein} INO Di

co 8 308 |
fia hae” Pt n004 TEs eh 02 TRY 03080
Jie IKI
1. ea @ 1 lb /0 3) o 95
Hae ae i 903120002183 F E
sr N ee o7ea71 782200 F F
CHNPART TOM 073447501213 1
KFT SINGLES 002100061526 F
82114 pepeece a E
ALAMI 020633960343 F
eococossoaekt
1 FOR 0.44
PILLS tiore 068113113619 F
‘SH NYLON 0074 7024836
HAND CLEANER 004125100005
INJECTR CLNR 00: 98071 0003

“inion

N/IB/VT 14:26:03

x

BALE BOIwLSS

Sanrreneasss ase’
See ees

NSBo--Fw-No> WawNonNc

"
18.jpg,Give’ u,10/31/21,0.00,Er en 004000047587 F 13.24 | TAX 1 7.000 % 3.60 | DEBIT TEND 86.35,"Give’ u
dae

Thanked eedback
ak Your 1D 4 Toni iit sy Ma Mart com

Walmart nis
863-3
780 CHE 0 2 Mae MARK

Sig pasar WINTER HAVEN FL 3388q

e # Ou9036
NS we TE ‘ % 78 ie ae Mie 36 TRH oo
GRE 87429514
a A ity Ur Bir aed 2 34 N
GAIN LE roar 2a8 2.84.N
GAIN 3037000 6.97 x
av Ye. on aston oe 4.94 X
CKER rg 007874221000 F 7.82 N
cope rs £5, 904000050533 F «3.78 X
MIXED aos 003400029305. F 4.76 X
Er en 004000047587 F 13.24
004326880002 F 1 ee 4
i 003 700082355 a
I ne PALEG PM 095497339521H 9.97 N
GV 2% S 001280051783 10.97 X
4 MINI 007874219999 2.97 X

aks SAUCE. 003120001605 F 1.58 0.

002740026499 F 3.46 0

Ser 007874212709 F090 0.
SUBTOTAL 82.75

TAX 1 7.000 % 3.60
TOTAL, 86.35
DEBIT TEND 86.35
CHANGE DUE 0.00
EFT DEBIT PAY FROM PRIMARY

86.35 TOTAL PURCHASE
FIFTHTHIRD DEBIT ax xxxx xxx 9832 1 0
REF # 130400725877
NETWORK ID. 0076 APPR CODE 001740
US Debit
AID A006 no000042003
‘AAC. ASF ABF3D0F007485

RMINAL # SCO11151
ity 10/31/21 4 oe 22
# ITEMS oe

TCH 7563 1623

TI i

i
Maratpat Mb: 08:

"
18.jpg,Give’ u,10/31/21,0.00,Er en 004000047587 F 13.24 | TAX 1 7.000 % 3.60 | DEBIT TEND 86.35,"Give’ u
dae

Thanked eedback
ak Your 1D 4 Toni iit sy Ma Mart com

Walmart nis
863-3
780 CHE 0 2 Mae MARK

Sig pasar WINTER HAVEN FL 3388q

e # Ou9036
NS we TE ‘ % 78 ie ae Mie 36 TRH oo
GRE 87429514
a A ity Ur Bir aed 2 34 N
GAIN LE roar 2a8 2.84.N
GAIN 3037000 6.97 x
av Ye. on aston oe 4.94 X
CKER rg 007874221000 F 7.82 N
cope rs £5, 904000050533 F «3.78 X
MIXED aos 003400029305. F 4.76 X
Er en 004000047587 F 13.24
004326880002 F 1 ee 4
i 003 700082355 a
I ne PALEG PM 095497339521H 9.97 N
GV 2% S 001280051783 10.97 X
4 MINI 007874219999 2.97 X

aks SAUCE. 003120001605 F 1.58 0.

002740026499 F 3.46 0

Ser 007874212709 F090 0.
SUBTOTAL 82.75

TAX 1 7.000 % 3.60
TOTAL, 86.35
DEBIT TEND 86.35
CHANGE DUE 0.00
EFT DEBIT PAY FROM PRIMARY

86.35 TOTAL PURCHASE
FIFTHTHIRD DEBIT ax xxxx xxx 9832 1 0
REF # 130400725877
NETWORK ID. 0076 APPR CODE 001740
US Debit
AID A006 no000042003
‘AAC. ASF ABF3D0F007485

RMINAL # SCO11151
ity 10/31/21 4 oe 22
# ITEMS oe

TCH 7563 1623

TI i

i
Maratpat Mb: 08:

"
19.jpg,Give us feedback @,,,2.51 1b @ 11b /1.44 | 157.29 35.05 122.94,"Give us feedback @
Thank’ yout TD #: 7OOR IIIS GN Mart Co
Walmart s'- ae
76-9425. Mar :e
86 ET STATE. ROA} eute.
WALES FL
ST# 00859 0P# 009026 Tey See rp,
GRILL CoveR  47128839699,°° |
EIBER CHOICE 0 36926600904
CELERY HE, 003338365301 F
}00000004023KF
2.51 1b @ 11b /1.44
SUBTOTAL.
TAX 1 aoe

OTAL,
SHOPPING CARD TEND
CHANGE DUE
SHOP..CARD. REDEMPTION 35.
ACCOUNT xxxxxxxx%x«x0246
Beg Bal Tran Amt End Bal

157.29 35.05 122.94
aad 1fEHS st %

JAN

Sorie/21 ie Seas

12

&
is

2

Bo NRBe
z zz~x

BZoBFHk
233382 see

(NN

"
19.jpg,Give us feedback @,,,2.51 1b @ 11b /1.44 | 157.29 35.05 122.94,"Give us feedback @
Thank’ yout TD #: 7OOR IIIS GN Mart Co
Walmart s'- ae
76-9425. Mar :e
86 ET STATE. ROA} eute.
WALES FL
ST# 00859 0P# 009026 Tey See rp,
GRILL CoveR  47128839699,°° |
EIBER CHOICE 0 36926600904
CELERY HE, 003338365301 F
}00000004023KF
2.51 1b @ 11b /1.44
SUBTOTAL.
TAX 1 aoe

OTAL,
SHOPPING CARD TEND
CHANGE DUE
SHOP..CARD. REDEMPTION 35.
ACCOUNT xxxxxxxx%x«x0246
Beg Bal Tran Amt End Bal

157.29 35.05 122.94
aad 1fEHS st %

JAN

Sorie/21 ie Seas

12

&
is

2

Bo NRBe
z zz~x

BZoBFHk
233382 see

(NN

"
2.jpg,Give us feedback @ survey.walmart .com,10/18/20,0.00,TAX 1 7.750 % 3.46 | DEBIT TEND 49.90,"Give us feedback @ survey.walmart .com
Thank you! ID #:7PB65JWCFZ2

Walmart ><.

949-498-6669 Mor : MICHAEL
951 AVENIDA PICO
ve SAN CLEMENTE CA 92673

ST# 02527 OP# 009045 TEM 45 TRH 06193
— GV OATMEAL 007874243408 F = 1.76 0
OT 2002 TUM 081236803115 6.74 X
M ATHLETICS 019104567781 24.97 X
DEXAS 15X20 008429710921 12.97 X

SUBTOTAL 46.44

TAX 1 7.750 % 3.46

TOTAL
DEBIT TEND 49.90

CHANGE DUE 0.00
EFT DEBIT PAY FROM PRIMARY
49.90 TOTAL PURCHASE
US DEBIT axex xnxx xxxx 9689 I 0
REF # 029200639128

NETWORK TD. 0056 APPR CODE 461500

# SCO11004
10/18/20, 11:30:42
# ITEMS SOLD 4

16 4305 8847 1¢

UA NL ALN

'
we

Introducing Walmart+
Join today at walmerL.com/plus

Low Prices Y st. Every Day.
bet rigs feat Ta grey

"
2.jpg,Give us feedback @ survey.walmart .com,10/18/20,0.00,TAX 1 7.750 % 3.46 | DEBIT TEND 49.90,"Give us feedback @ survey.walmart .com
Thank you! ID #:7PB65JWCFZ2

Walmart ><.

949-498-6669 Mor : MICHAEL
951 AVENIDA PICO
ve SAN CLEMENTE CA 92673

ST# 02527 OP# 009045 TEM 45 TRH 06193
— GV OATMEAL 007874243408 F = 1.76 0
OT 2002 TUM 081236803115 6.74 X
M ATHLETICS 019104567781 24.97 X
DEXAS 15X20 008429710921 12.97 X

SUBTOTAL 46.44

TAX 1 7.750 % 3.46

TOTAL
DEBIT TEND 49.90

CHANGE DUE 0.00
EFT DEBIT PAY FROM PRIMARY
49.90 TOTAL PURCHASE
US DEBIT axex xnxx xxxx 9689 I 0
REF # 029200639128

NETWORK TD. 0056 APPR CODE 461500

# SCO11004
10/18/20, 11:30:42
# ITEMS SOLD 4

16 4305 8847 1¢

UA NL ALN

'
we

Introducing Walmart+
Join today at walmerL.com/plus

Low Prices Y st. Every Day.
bet rigs feat Ta grey

"
20.png,@ DOLLAR TREE.,9/17/22,,1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00,"@ DOLLAR TREE.

Store 156 (517) 993-0356
1941 W Grand River Ave.

Suite 101

Okewos us 56252-5601

Lacaiadbanal QTY PRICE TOTAL

COLGATE TOTAL WHTNING TPS
COLGATE TOTAL WHTNING TPS

1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00

FIFTHTHIRD DEBIT
sexxeeeneens42074 nro
Purchase

Auth/Trace Number: so3ilh 09089
Chip Card AID: A00000020

is |

NOW SHOP ON-LINE AT DOLLARTREE COM
JS koeEnKEnrEee ence neeeeneereereeeeRe Eres
* We will gladly exchange any unopened item *
x — vith original receipt. We do not offer refunds. *
JS kEEREnKEnrEeE eee nee cereeeceneeeeneeeeee eens
7534 00185 04 004 21435062 9/17/22 17:08
Sales Associate:Tomya
"
20.png,@ DOLLAR TREE.,9/17/22,,1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00 | 1.00,"@ DOLLAR TREE.

Store 156 (517) 993-0356
1941 W Grand River Ave.

Suite 101

Okewos us 56252-5601

Lacaiadbanal QTY PRICE TOTAL

COLGATE TOTAL WHTNING TPS
COLGATE TOTAL WHTNING TPS

1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00

FIFTHTHIRD DEBIT
sexxeeeneens42074 nro
Purchase

Auth/Trace Number: so3ilh 09089
Chip Card AID: A00000020

is |

NOW SHOP ON-LINE AT DOLLARTREE COM
JS koeEnKEnrEee ence neeeeneereereeeeRe Eres
* We will gladly exchange any unopened item *
x — vith original receipt. We do not offer refunds. *
JS kEEREnKEnrEeE eee nee cereeeceneeeeneeeeee eens
7534 00185 04 004 21435062 9/17/22 17:08
Sales Associate:Tomya
"
21.jpg,Gs,2/20/14,,,"Gs
Os
Dollar Tree Stores, Inc

CHANGE

q

5
Tlartree.con

12802 2/20/14 1

1601 04561 09 099 2

Saler Associate: Jacqui tte

"
21.jpg,Gs,2/20/14,,,"Gs
Os
Dollar Tree Stores, Inc

CHANGE

q

5
Tlartree.con

12802 2/20/14 1

1601 04561 09 099 2

Saler Associate: Jacqui tte

"
3.jpg,See back of up chance,,,,"See back of up chance
to win $1000 Th gsNoTVENCHDG

‘al Tha
317-851-1102 Har: JAMIE BROOKSHIRE
882 S STATE ROAD, 135

6

SS2eRs
eD400)

003120506000 F
we
003120606000 F

NO nen

92942 x0D0xG0e

BYS Bey aLow Sorersseziy
“BALE ene 00000001
TR HS FRM 4 002240062190
BAGELS 001376402801 F
GV SLIDERS 007874201525
ACCESSORY 7615161.
CHEEZE IT

WAS 4.54 YOU SAV!

sessile

=zz oxxox

SUBTOTS

TAX 1 = 7,000 *
TOTAL
CASH TEND

Ey
SSRS28S2 SNeRz

2
2)
4
2
0
4
2.
2.
ci
9
4.
4
0,
6.

Tl 6 2495

Scan with Walmart app oe receipts

"
3.jpg,See back of up chance,,,,"See back of up chance
to win $1000 Th gsNoTVENCHDG

‘al Tha
317-851-1102 Har: JAMIE BROOKSHIRE
882 S STATE ROAD, 135

6

SS2eRs
eD400)

003120506000 F
we
003120606000 F

NO nen

92942 x0D0xG0e

BYS Bey aLow Sorersseziy
“BALE ene 00000001
TR HS FRM 4 002240062190
BAGELS 001376402801 F
GV SLIDERS 007874201525
ACCESSORY 7615161.
CHEEZE IT

WAS 4.54 YOU SAV!

sessile

=zz oxxox

SUBTOTS

TAX 1 = 7,000 *
TOTAL
CASH TEND

Ey
SSRS28S2 SNeRz

2
2)
4
2
0
4
2.
2.
ci
9
4.
4
0,
6.

Tl 6 2495

Scan with Walmart app oe receipts

"
4.jpg,Walmart ><,12/08/15,0.00,TAK 1 7.000 % 0.49,"Walmart ><

( 712 ) 366 - 3326
MANAGER DONALD MONEYMAKER
3201 MANAWA CENTRE DR
COUNCIL BLUFFS T@ 61601
$1# 01965 OPS 002031 TEs 20 TRE 05145

SW HRO FGHTR 063050940732 6.94 T
SUBTOTAL 6.94
TAK 1 7.000 % 0.49
TOTAL 143
DEBIT TEND 143
CHANGE DUE 0.00
EFT DEBIT PAY FROM PRIMARY
7.43 TOTAL PUR

ACCOUNT Py
REF & 634200381765
NETWORK ID. 0056 APPR CODE 087193
TERMINAL # MK995026

12/08/15 12:39:24

# ITEMS SOLD 1

TCR 3261 4114 0323 3051 6498

wii iionn yn

‘STORE
to midnight 7 davs a week.
bse! oot oats 12:39:26

Savings Catcher ca with Walmart app

ay

"
